"","X","year","month","epoch","season","treatment","locality","site","bar","station","count_live","tran_length","area","density","ann_dis","mon_dis","ann_dis_lag","mon_dis_lag","mon_dis_lag2","mon_dis_lag3","ann_dis_sc","ann_dis_lag_sc","mon_dis_sc","mon_dis_lag_sc","mon_dis_lag2_sc","mon_dis_lag3_sc"
"30",30,2010,12,"epoch1","winter","control","CR","I","3","CRI3",504,13.9,2.11836,237.919900300232,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"31",31,2010,12,"epoch1","winter","control","CR","N","1","CRN1",326,17.5,2.667,122.234720659917,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"32",32,2010,12,"epoch1","winter","control","CR","N","2","CRN2",204,21.64,3.297936,61.8568704789905,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"33",33,2010,12,"epoch1","winter","control","CR","N","3","CRN3",400,35,5.334,74.9906261717285,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"34",34,2010,12,"epoch1","winter","control","CR","O","1","CRO1",258,65,9.906,26.0448213204119,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"35",35,2010,12,"epoch1","winter","control","CR","O","2","CRO2",832,45,6.858,121.318168562263,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"36",36,2010,12,"epoch1","winter","control","CR","O","3","CRO3",24,40,6.096,3.93700787401575,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"37",37,2010,12,"epoch1","winter","control","HB","I","1","HBI1",596,32.5,4.953,120.331112457097,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"38",38,2010,12,"epoch1","winter","control","HB","I","2","HBI2",628,16,2.4384,257.54593175853,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"39",39,2010,12,"epoch1","winter","control","HB","I","3","HBI3",946,26,3.9624,238.744195437109,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"40",40,2010,12,"epoch1","winter","control","HB","N","1","HBN1",20,18.1,2.75844,7.25047490610635,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"41",41,2010,12,"epoch1","winter","control","HB","N","2","HBN2",12,23.3,3.55092,3.3794059004427,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"42",42,2010,12,"epoch1","winter","control","HB","N","5","HBN5",25,17.5,2.667,9.37382827146607,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"43",43,2010,12,"epoch1","winter","control","HB","N","6","HBN6",408,22.5,3.429,118.985126859143,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"44",44,2010,12,"epoch1","winter","control","HB","O","1","HBO1",8,31.2,4.75488,1.68248199744263,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"45",45,2010,12,"epoch1","winter","control","HB","O","2","HBO2",0,15.6,2.37744,0,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"46",46,2010,12,"epoch1","winter","control","HB","O","3","HBO3",12,50,7.62,1.5748031496063,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"47",47,2010,12,"epoch1","winter","control","LC","I","1","LCI1",491,20,3.048,161.089238845144,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"48",48,2010,12,"epoch1","winter","control","LC","I","2","LCI2",326,20.29,3.092196,105.426693521368,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"49",49,2010,12,"epoch1","winter","control","LC","I","3","LCI3",593,20,3.048,194.553805774278,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"50",50,2010,12,"epoch1","winter","control","LC","N","1","LCN1",0,12.3,1.87452,0,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"51",51,2010,12,"epoch1","winter","control","LC","N","2","LCN2",36,17.7,2.69748,13.3457894034432,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"52",52,2010,12,"epoch1","winter","control","LC","N","3","LCN3",28,32.6,4.96824,5.63579859266058,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"53",53,2010,12,"epoch1","winter","control","LC","N","4","LCN4",15,20,3.048,4.92125984251969,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"54",54,2010,12,"epoch1","winter","control","LC","O","3","LCO3",143,21.3,3.24612,44.0525920175471,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"55",55,2010,12,"epoch1","winter","control","LC","O","8A","LCO8A",66,14.3,2.17932,30.2846759539673,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"56",56,2010,12,"epoch1","winter","control","LC","O","9B","LCO9B",17,20.3,3.09372,5.49500277982494,7781.17808219178,2660.32258064516,7618.65753424658,3057,3790.96774193548,4424,0.294673256068782,0.622513190973054,0.089804970653038,0.103195679081805,0.178412023683012,0.198863380960026
"57",57,2010,5,"epoch1","summer","control","CK","I","1","CKI1",1231,24.9,3.79476,324.394691627402,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"58",58,2010,5,"epoch1","summer","control","CK","I","2","CKI2",540,29.2,4.45008,121.346133103225,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"59",59,2010,5,"epoch1","summer","control","CK","I","3","CKI3",811,21.9,3.33756,242.991886288187,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"60",60,2010,5,"epoch1","summer","control","CK","N","1","CKN1",350,15.3,2.33172,150.103786046352,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"61",61,2010,5,"epoch1","summer","control","CK","N","2","CKN2",83,41,6.2484,13.2834005505409,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"62",62,2010,5,"epoch1","summer","control","CK","N","3","CKN3",940,16.5,2.5146,373.81690924998,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"63",63,2010,5,"epoch1","summer","control","CK","O","1","CKO1",54,23.2,3.53568,15.272875373337,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"64",64,2010,5,"epoch1","summer","control","CK","O","2","CKO2",26,25.7,3.91668,6.63827527395651,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"65",65,2010,5,"epoch1","summer","control","CK","O","3","CKO3",226,33,5.0292,44.937564622604,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"66",66,2010,5,"epoch1","summer","control","CR","I","1","CRI1",711,23.4,3.56616,199.374116696951,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"67",67,2010,5,"epoch1","summer","control","CR","I","2","CRI2",1089,18.6,2.83464,384.175768351537,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"68",68,2010,5,"epoch1","summer","control","CR","I","3","CRI3",693,13.9,2.11836,327.139862912819,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"69",69,2010,5,"epoch1","summer","control","CR","N","1","CRN1",136,20.3,3.09372,43.9600222385995,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"70",70,2010,5,"epoch1","summer","control","CR","N","2","CRN2",97,21.6,3.29184,29.466802760766,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"71",71,2010,5,"epoch1","summer","control","CR","N","3","CRN3",1107,35,5.334,207.536557930259,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"72",72,2010,5,"epoch1","summer","control","CR","O","1","CRO1",318,50,7.62,41.7322834645669,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"73",73,2010,5,"epoch1","summer","control","CR","O","2","CRO2",1664,45,6.858,242.636337124526,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"74",74,2010,5,"epoch1","summer","control","CR","O","3","CRO3",20,40,6.096,3.28083989501312,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"75",75,2010,5,"epoch1","summer","control","HB","I","1","HBI1",1211,32.5,4.953,244.498283868363,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"76",76,2010,5,"epoch1","summer","control","HB","I","2","HBI2",1152,16,2.4384,472.44094488189,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"77",77,2010,5,"epoch1","summer","control","HB","I","3","HBI3",1314,26,3.9624,331.617201695942,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"78",78,2010,5,"epoch1","summer","control","HB","I","4","HBI4",93,17.5,2.667,34.8706411698538,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"79",79,2010,5,"epoch1","summer","control","HB","N","1","HBN1",46,18.1,2.75844,16.6760922840446,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"80",80,2010,5,"epoch1","summer","control","HB","N","2","HBN2",14,23.3,3.55092,3.94264021718315,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"81",81,2010,5,"epoch1","summer","control","HB","N","3","HBN3",45,16.5,2.5146,17.8954903364352,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"82",82,2010,5,"epoch1","summer","control","HB","O","1","HBO1",4,31.2,4.75488,0.841240998721314,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"83",83,2010,5,"epoch1","summer","control","HB","O","2","HBO2",11,15.6,2.37744,4.62682549296723,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"84",84,2010,5,"epoch1","summer","control","HB","O","3","HBO3",62,50,7.62,8.13648293963255,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"85",85,2010,5,"epoch1","summer","control","LC","I","1","LCI1",611,20,3.048,200.459317585302,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"86",86,2010,5,"epoch1","summer","control","LC","I","2","LCI2",771,20.3,3.09372,249.214537837943,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"87",87,2010,5,"epoch1","summer","control","LC","I","3","LCI3",619,20,3.048,203.083989501312,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"88",88,2010,5,"epoch1","summer","control","LC","N","1","LCN1",40,12.3,1.87452,21.338796065126,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"89",89,2010,5,"epoch1","summer","control","LC","N","2","LCN2",30,17.7,2.69748,11.121491169536,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"90",90,2010,5,"epoch1","summer","control","LC","N","3","LCN3",50,32.6,4.96824,10.0639260583225,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"91",91,2010,5,"epoch1","summer","control","LC","O","3","LCO3",117,21.3,3.24612,36.0430298325385,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"92",92,2010,5,"epoch1","summer","control","LC","O","8A","LCO8A",45,14.3,2.17932,20.6486426958868,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"93",93,2010,5,"epoch1","summer","control","LC","O","9B","LCO9B",79,20.3,3.09372,25.5356011533041,7781.17808219178,7346.12903225806,7618.65753424658,8550.33333333333,15700,22246.4285714286,0.294673256068782,0.622513190973054,0.247984551555915,0.288635084955553,0.738879611355701,1
"94",94,2010,7,"epoch1","summer","control","CK","I","1","CKI1",737,29.2,4.45008,165.615000179772,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"95",95,2010,7,"epoch1","summer","control","CK","I","2","CKI2",1178,25,3.81,309.186351706037,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"96",96,2010,7,"epoch1","summer","control","CK","I","3","CKI3",797,21.8,3.32232,239.892605167473,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"97",97,2010,7,"epoch1","summer","control","CK","N","1","CKN1",436,15,2.286,190.726159230096,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"98",98,2010,7,"epoch1","summer","control","CK","N","2","CKN2",78,35,5.334,14.6231721034871,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"99",99,2010,7,"epoch1","summer","control","CK","N","3","CKN3",1455,17.5,2.667,545.556805399325,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
"100",100,2010,7,"epoch1","summer","control","CK","O","1","CKO1",67,23.3,3.55092,18.8683496108051,7781.17808219178,5510,7618.65753424658,5241,7346.12903225806,8550.33333333333,0.294673256068782,0.622513190973054,0.186002025430404,0.17692134578598,0.345726430848641,0.38434633702574
